num of tasks, task id, nominal util, util w/o SG, util w SG, util after sync, schedulable, life time, total cor msg,avg life,avg cor
5,1,0.05,0.05,0.05,0.14,TRUE,3.23,149523,3.048,145922.6
5,2,0.05,0.05,0.05,0.14,TRUE,2.3,129722,,
5,3,0.05,0.05,0.05,0.14,TRUE,3.45,146657,,
5,4,0.05,0.05,0.05,0.14,TRUE,3.74,160577,,
5,5,0.05,0.05,0.05,0.14,TRUE,2.52,143134,,
10,6,0.05,0.05,0.05,0.14,TRUE,4.63,214121,4.642,209160.2
10,2,0.05,0.05,0.05,0.24,TRUE,4.79,204320,,
10,3,0.05,0.05,0.05,0.24,TRUE,4.89,217375,,
10,4,0.05,0.05,0.05,0.24,TRUE,4.79,211115,,
10,5,0.05,0.05,0.05,0.24,TRUE,4.11,198870,,
20,1,0.05,0.05,0.05,0.44,TRUE,6.37,246363,5.844,257699.6
20,2,0.05,0.05,0.05,0.44,TRUE,5.79,264066,,
20,3,0.05,0.05,0.05,0.44,TRUE,7.06,269781,,
20,4,0.05,0.05,0.05,0.44,TRUE,5.53,260457,,
20,5,0.05,0.05,0.05,0.44,TRUE,4.47,247831,,
40,1,0.05,0.05,0.05,0.84,TRUE,8.47,326239,8.25,324251.8
40,2,0.05,0.05,0.05,0.84,TRUE,8.47,327674,,
40,3,0.05,0.05,0.05,0.84,TRUE,8.1,326809,,
40,4,0.05,0.05,0.05,0.84,TRUE,9.11,319408,,
40,5,0.05,0.05,0.05,0.84,TRUE,7.1,321129,,
5,1,0.1,0.1,0.11,0.17,TRUE,1.51,167481,1.536,176262
5,2,0.1,0.1,0.11,0.19,TRUE,1.94,195472,,
5,3,0.1,0.1,0.11,0.18,TRUE,1.29,184415,,
5,4,0.1,0.1,0.11,0.18,TRUE,1.22,173357,,
5,5,0.1,0.09,0.1,0.18,TRUE,1.72,160585,,
10,1,0.1,0.1,0.11,0.28,TRUE,2.73,305433,2.704,287950
10,2,0.1,0.1,0.11,0.29,TRUE,1.94,268698,,
10,3,0.1,0.1,0.11,0.29,TRUE,2.3,281036,,
10,4,0.1,0.1,0.11,0.29,TRUE,2.88,284509,,
10,5,0.1,0.1,0.11,0.29,TRUE,3.67,300074,,
20,1,0.1,0.1,0.11,0.49,TRUE,2.01,369822,3.928,415621.4
20,2,0.1,0.1,0.11,0.47,TRUE,3.45,406024,,
20,3,0.1,0.1,0.11,0.48,TRUE,4.6,443996,,
20,4,0.1,0.1,0.11,0.48,TRUE,4.79,434983,,
20,5,0.1,0.1,0.11,0.48,TRUE,4.79,423282,,
40,1,0.1,0.1,0.11,0.88,TRUE,4.74,528117,5.236,539768.6
40,2,0.1,0.1,0.11,0.88,TRUE,5.21,538420,,
40,3,0.1,0.1,0.11,0.88,TRUE,5.37,559474,,
40,4,0.1,0.1,0.11,0.88,TRUE,4.63,515899,,
40,5,0.1,0.1,0.11,0.89,TRUE,6.23,556933,,
5,1,0.2,0.18,0.2,0.23,TRUE,0.93,184421,0.934,197689.8
5,2,0.2,0.18,0.2,0.26,TRUE,0.65,195478,,
5,3,0.2,0.18,0.2,0.23,TRUE,1.37,206537,,
5,4,0.2,0.18,0.2,0.24,TRUE,1.15,206536,,
5,5,0.2,0.19,0.21,0.27,TRUE,0.57,195477,,
10,1,0.2,0.18,0.2,0.36,TRUE,0.72,319231,1.35,326468.8
10,2,0.2,0.18,0.2,0.35,TRUE,1.72,340332,,
10,3,0.2,0.18,0.2,0.33,TRUE,1.51,297496,,
10,4,0.2,0.18,0.2,0.36,TRUE,0.86,318722,,
10,5,0.2,0.18,0.2,0.37,TRUE,1.94,356563,,
20,1,0.2,0.18,0.2,0.57,TRUE,1.94,558535,2.4,552126.2
20,2,0.2,0.18,0.2,0.55,TRUE,2.3,549335,,
20,3,0.2,0.18,0.2,0.56,TRUE,2.59,546829,,
20,4,0.2,0.18,0.2,0.55,TRUE,2.73,559810,,
20,5,0.2,0.18,0.2,0.55,TRUE,2.44,546122,,
40,1,0.2,0.18,0.2,0.95,TRUE,3.88,802211,3.826,793025.8
40,2,0.2,0.18,0.2,0.96,TRUE,3.67,787453,,
40,3,0.2,0.18,0.2,0.96,TRUE,3.88,780336,,
40,4,0.2,0.18,0.2,0.94,TRUE,4.47,824908,,
40,5,0.2,0.18,0.2,0.96,TRUE,3.23,770221,,
5,1,0.3,0.27,0.29,0.36,TRUE,0.36,206532,0.474,197690.4
5,2,0.3,0.27,0.3,0.33,TRUE,0.57,195480,,
5,3,0.3,0.28,0.31,0.33,TRUE,0.43,195480,,
5,4,0.3,0.28,0.31,0.36,TRUE,0.36,195479,,
5,5,0.3,0.27,0.3,0.33,TRUE,0.65,195481,,
10,1,0.3,0.26,0.29,0.43,TRUE,0.93,384564,1.048,373849.4
10,2,0.3,0.27,0.29,0.39,TRUE,1.44,390951,,
10,3,0.3,0.27,0.29,0.43,TRUE,0.93,390950,,
10,4,0.3,0.27,0.3,0.41,TRUE,0.86,368836,,
10,5,0.3,0.27,0.3,0.4,TRUE,1.08,333946,,
20,1,0.3,0.26,0.29,0.63,TRUE,1.94,611464,1.982,633096.6
20,2,0.3,0.26,0.29,0.61,TRUE,2.37,638577,,
20,3,0.3,0.26,0.29,0.63,TRUE,1.94,674393,,
20,4,0.3,0.26,0.29,0.63,TRUE,1.94,645292,,
20,5,0.3,0.27,0.29,0.63,TRUE,1.72,595757,,
40,1,0.3,0.26,0.29,1.03,FALSE,2.88,943445,2.56,948018.8
40,2,0.3,0.26,0.29,1.02,FALSE,2.52,942842,,
40,3,0.3,0.26,0.29,1.01,FALSE,1.29,906572,,
40,4,0.3,0.26,0.29,1.01,FALSE,3.23,974045,,
40,5,0.3,0.26,0.29,1.01,FALSE,2.88,973190,,
5,1,0.5,0.45,0.5,0.53,TRUE,0.36,206540,0.332,206540
5,2,0.5,0.44,0.48,0.52,TRUE,0.29,206541,,
5,3,0.5,0.45,0.49,0.52,TRUE,0.29,206538,,
5,4,0.5,0.46,0.51,0.54,TRUE,0.29,206539,,
5,5,0.5,0.46,0.51,0.53,TRUE,0.43,206542,,
10,1,0.5,0.47,0.52,0.62,TRUE,0.29,368841,0.532,399801.6
10,2,0.5,0.44,0.49,0.59,TRUE,0.5,413070,,
10,3,0.5,0.44,0.49,0.58,TRUE,0.43,402012,,
10,4,0.5,0.44,0.49,0.55,TRUE,0.72,413073,,
10,5,0.5,0.44,0.48,0.56,TRUE,0.72,402012,,
20,1,0.5,0.44,0.49,0.74,TRUE,0.65,701059,0.936,708886.2
20,2,0.5,0.43,0.48,0.73,TRUE,1.01,699133,,
20,3,0.5,0.43,0.47,0.75,TRUE,1.37,703289,,
20,4,0.5,0.43,0.48,0.78,TRUE,0.79,716061,,
20,5,0.5,0.43,0.48,0.77,TRUE,0.86,724889,,
40,1,0.5,0.43,0.47,1.13,FALSE,1.15,1127841,1.666,1181783.2
40,2,0.5,0.43,0.48,1.17,FALSE,1.15,1153155,,
40,3,0.5,0.43,0.47,1.17,FALSE,2.01,1196672,,
40,4,0.5,0.43,0.47,1.14,FALSE,1.72,1203333,,
40,5,0.5,0.43,0.47,1.15,FALSE,2.3,1227915,,
5,1,0.7,0.66,0.73,0.74,TRUE,0.29,206543,0.262,206542.8
5,2,0.7,0.65,0.72,0.76,TRUE,0.22,206541,,
5,3,0.7,0.64,0.7,0.7,TRUE,0.29,206543,,
5,4,0.7,0.61,0.67,0.67,TRUE,0.22,206543,,
5,5,0.7,0.65,0.71,0.71,TRUE,0.29,206544,,
10,1,0.7,0.63,0.69,0.74,TRUE,0.43,413077,0.416,410864.6
10,2,0.7,0.61,0.68,0.74,TRUE,0.29,413073,,
10,3,0.7,0.62,0.68,0.77,TRUE,0.36,413074,,
10,4,0.7,0.62,0.68,0.75,TRUE,0.5,402020,,
10,5,0.7,0.61,0.68,0.74,TRUE,0.5,413079,,
20,1,0.7,0.62,0.68,0.91,TRUE,0.72,747012,0.748,749567.6
20,2,0.7,0.62,0.68,0.89,TRUE,0.72,734240,,
20,3,0.7,0.62,0.68,0.93,TRUE,0.72,731285,,
20,4,0.7,0.61,0.67,0.87,TRUE,0.65,753399,,
20,5,0.7,0.62,0.68,0.91,TRUE,0.93,781902,,
40,1,0.7,0.61,0.67,1.31,FALSE,1.01,1299110,1.05,1278990.8
40,2,0.7,0.61,0.68,1.32,FALSE,0.86,1284847,,
40,3,0.7,0.61,0.68,1.32,FALSE,0.79,1245316,,
40,4,0.7,0.61,0.67,1.31,FALSE,1.08,1233945,,
40,5,0.7,0.61,0.67,1.33,FALSE,1.51,1331736,,
5,1,0.9,0.83,0.91,0.91,TRUE,0.22,206544,0.22,206544
5,2,0.9,0.82,0.9,0.9,TRUE,0.22,206544,,
5,3,0.9,0.83,0.91,0.91,TRUE,0.22,206545,,
5,4,0.9,0.84,0.92,0.92,TRUE,0.22,206543,,
5,5,0.9,0.82,0.9,0.9,TRUE,0.22,206544,,
10,1,0.9,0.84,0.92,0.97,TRUE,0.29,413076,0.36,410868.8
10,2,0.9,0.81,0.89,0.89,TRUE,0.57,413086,,
10,3,0.9,0.81,0.89,0.95,TRUE,0.22,413075,,
10,4,0.9,0.81,0.89,0.9,TRUE,0.36,413083,,
10,5,0.9,0.84,0.93,0.98,TRUE,0.36,402024,,
20,1,0.9,0.81,0.89,1.08,FALSE,0.5,804025,0.632,788547.6
20,2,0.9,0.81,0.89,1.05,FALSE,0.72,815087,,
20,3,0.9,0.82,0.91,1.12,FALSE,0.57,770859,,
20,4,0.9,0.8,0.88,1.06,FALSE,0.72,781912,,
20,5,0.9,0.81,0.9,1.06,FALSE,0.65,770855,,
40,1,0.9,0.8,0.89,1.45,FALSE,0.65,1400685,0.834,1405833.2
40,2,0.9,0.79,0.87,1.39,FALSE,1.08,1431624,,
40,3,0.9,0.8,0.88,1.46,FALSE,0.86,1390835,,
40,4,0.9,0.8,0.87,1.44,FALSE,0.72,1430403,,
40,5,0.9,0.8,0.88,1.48,FALSE,0.86,1375619,,
